Name,Age,Gender,Major,Living_Area,Parent_Education,Scholarship_Status,Part_Time_Job,Extracurricular_Activities,Internet_Access,Study_Hours_Per_Day,Sleep_Hours_Per_Day,Attendance_Rate,Stress_Level,Exam_Proximity,Math_Score,Science_Score,Language_Score,History_Score,Average_Score,Grade
Barbara Lopez,23,Female,Arts,Rural,Master,No,No,No,Yes,6.45,9.09,76.2,5.3,Yes,76,69,76,76,74,B
Margaret Johnson,24,Female,STEM,Urban,Bachelor,No,Yes,No,Yes,0.56,5.83,79.8,5.5,No,60,64,42,49,54,D
David Perez,24,Male,Arts,Urban,Bachelor,No,No,No,Yes,4.39,5.39,63.1,2.1,No,67,59,77,72,69,C
Anthony Thomas,18,Male,Arts,Suburban,High School,Yes,No,Yes,Yes,3.29,8.83,86.1,3.5,Yes,71,64,76,79,73,B
Sarah Hernandez,18,Female,STEM,Rural,High School,Yes,No,No,Yes,3.66,8.44,82.9,3.1,No,71,79,72,79,75,B
Linda Harris,20,Female,Business,Urban,Bachelor,No,Yes,Yes,No,6.26,7.52,78.6,3.5,No,84,78,89,69,80,B
Robert Walker,21,Male,STEM,Urban,Master,No,No,No,Yes,3.89,6.95,82.3,3.4,No,81,96,71,76,81,B
Jessica Gonzalez,19,Female,Business,Urban,Bachelor,No,Yes,Yes,Yes,4.42,6.47,73.9,4.7,No,82,61,78,70,73,B
Sandra Thompson,18,Female,Business,Urban,Master,Yes,No,Yes,Yes,9.0,7.34,97.1,2.0,No,100,89,96,90,94,A
Charles Anderson,22,Male,STEM,Suburban,High School,No,No,No,Yes,5.55,8.9,90.5,1.9,No,82,89,83,78,83,B
Joseph Johnson,20,Male,STEM,Suburban,Bachelor,No,No,Yes,Yes,3.77,7.29,83.1,2.2,No,90,79,72,73,79,B
Richard Sanchez,19,Male,Business,Urban,High School,No,No,No,Yes,2.56,9.6,67.4,2.2,No,58,60,66,60,61,C
Nancy Moore,20,Female,Arts,Urban,Bachelor,No,Yes,Yes,Yes,0.5,5.92,94.6,5.0,No,58,50,71,59,60,C
John Moore,19,Male,STEM,Urban,High School,Yes,No,Yes,Yes,4.44,6.98,77.6,2.6,No,81,90,83,76,83,B
Lisa Allen,19,Female,Humanities,Urban,PhD,No,No,No,Yes,5.86,6.55,63.2,2.6,No,72,74,86,78,78,B
Betty Wright,23,Female,STEM,Suburban,High School,No,No,No,Yes,6.46,5.7,89.0,3.0,No,73,80,71,68,73,B
Christopher Johnson,18,Male,Business,Rural,Master,No,Yes,No,Yes,1.25,6.82,75.6,5.7,No,69,58,68,58,63,C
Michael Taylor,25,Male,Humanities,Rural,Bachelor,No,No,No,Yes,7.53,7.5,82.0,2.2,No,88,77,100,92,89,A
David Nguyen,20,Male,STEM,Urban,PhD,No,Yes,No,Yes,13.97,7.63,40.0,6.1,Yes,91,87,72,72,81,B
Thomas Williams,25,Male,STEM,Rural,Bachelor,No,No,No,Yes,3.97,9.6,52.8,3.2,No,61,69,55,58,61,C
Michael Hill,20,Male,STEM,Suburban,Master,No,No,No,Yes,4.38,7.56,83.1,3.4,No,91,83,86,64,81,B
Margaret Thompson,23,Female,STEM,Suburban,High School,Yes,No,Yes,Yes,3.83,8.38,62.8,2.9,No,80,78,76,55,72,B
Nancy Ramirez,22,Female,STEM,Suburban,Bachelor,No,No,No,Yes,4.36,7.08,66.0,3.2,No,69,77,78,68,73,B
Michelle Allen,25,Female,Business,Urban,Master,No,No,No,Yes,5.14,9.01,65.4,2.7,No,68,62,86,65,70,B
Linda Harris,22,Female,STEM,Urban,High School,Yes,No,Yes,Yes,1.07,9.88,82.6,4.9,Yes,57,72,61,61,63,C
Andrew Gonzalez,24,Male,Arts,Urban,High School,No,Yes,No,Yes,2.48,7.64,76.8,5.3,No,50,50,71,69,60,C
Sarah Williams,18,Female,Humanities,Urban,Bachelor,No,Yes,No,Yes,3.47,5.81,72.6,8.0,Yes,58,64,55,71,62,C
Anthony Smith,18,Male,Humanities,Urban,Master,No,Yes,No,No,6.56,6.34,70.8,4.1,No,61,73,77,75,72,B
Steven Wright,21,Male,Business,Suburban,Bachelor,No,No,Yes,Yes,2.29,7.34,69.6,6.3,Yes,65,54,69,58,62,C
Richard White,23,Male,STEM,Suburban,Bachelor,No,No,Yes,Yes,9.65,7.55,99.3,2.0,No,100,100,99,88,97,A
Anthony Jones,22,Male,Business,Suburban,High School,Yes,No,No,Yes,3.33,7.84,76.1,2.7,No,80,79,73,61,73,B
Christopher Flores,19,Male,Arts,Urban,High School,No,Yes,Yes,No,0.5,7.55,84.9,6.9,Yes,49,42,74,66,58,C
Nancy Davis,20,Female,Arts,Rural,Master,No,Yes,No,Yes,5.34,7.01,72.0,4.4,No,79,70,85,76,78,B
Karen Allen,18,Female,STEM,Rural,High School,No,No,Yes,Yes,3.11,6.24,88.4,6.7,Yes,78,65,48,57,62,C
Charles Clark,25,Male,Humanities,Suburban,Bachelor,No,No,Yes,Yes,4.01,7.48,97.3,3.5,No,65,82,98,78,81,B
Nancy Sanchez,20,Female,Arts,Rural,Master,No,No,Yes,No,5.11,9.23,82.4,2.2,No,73,75,72,76,74,B
Karen Scott,20,Female,STEM,Suburban,High School,No,No,No,Yes,5.74,8.22,42.1,2.7,No,71,79,58,63,68,C
William Gonzalez,21,Male,Arts,Rural,Bachelor,No,No,No,Yes,3.95,7.64,87.4,3.8,No,61,71,79,75,72,B
Margaret Harris,22,Female,Arts,Urban,High School,No,No,No,No,3.7,8.24,78.3,2.4,No,58,74,71,65,67,C
David Flores,18,Male,Humanities,Urban,Bachelor,Yes,Yes,Yes,Yes,1.26,6.55,68.2,4.2,No,65,61,64,86,69,C
Andrew Martin,20,Male,Business,Urban,High School,No,No,No,Yes,5.43,6.39,92.9,4.1,No,76,68,79,81,76,B
Matthew Scott,18,Male,Business,Urban,Bachelor,No,No,Yes,Yes,3.01,6.1,78.2,3.1,No,64,69,87,68,72,B
Mary Martin,19,Female,STEM,Urban,High School,No,Yes,Yes,Yes,7.02,6.85,90.2,3.6,No,82,86,79,84,83,B
Karen Wilson,21,Female,Arts,Suburban,Bachelor,No,No,No,Yes,4.2,6.49,71.9,1.7,No,62,72,71,68,68,C
Anthony Nguyen,19,Male,Arts,Suburban,Bachelor,No,No,Yes,No,1.32,8.45,83.1,3.3,No,53,68,70,69,65,C
Michelle Lee,18,Female,STEM,Suburban,High School,No,No,Yes,Yes,4.88,6.43,69.2,1.8,No,83,88,67,73,78,B
Mark Lewis,24,Male,STEM,Urban,Bachelor,No,No,Yes,Yes,5.32,6.04,82.9,2.6,No,80,96,69,66,78,B
Mark Wilson,25,Male,Business,Rural,High School,No,No,Yes,No,8.16,9.33,54.5,4.4,Yes,75,66,74,67,71,B
Steven Walker,18,Male,STEM,Suburban,Bachelor,Yes,Yes,Yes,Yes,0.5,6.46,94.4,5.8,No,64,81,67,68,70,B
Barbara Garcia,22,Female,Arts,Urban,High School,Yes,No,No,Yes,2.4,7.18,97.4,2.6,No,62,72,83,85,76,B
Karen Allen,20,Female,STEM,Suburban,Bachelor,Yes,No,Yes,Yes,5.84,7.54,86.9,2.4,No,100,96,74,91,90,A
Joshua Perez,20,Male,STEM,Urban,High School,No,Yes,No,Yes,6.12,5.64,61.2,6.5,Yes,72,65,63,49,62,C
Jennifer Thomas,19,Female,STEM,Urban,Bachelor,No,No,Yes,Yes,2.57,8.48,88.8,2.2,No,87,72,69,70,75,B
Karen Anderson,25,Female,Humanities,Rural,High School,No,Yes,Yes,Yes,2.28,7.76,74.6,4.7,No,68,62,76,72,70,B
Richard Martinez,21,Male,Humanities,Urban,Bachelor,No,Yes,No,Yes,2.73,8.87,66.9,3.5,No,59,60,69,60,62,C
James Williams,24,Male,Humanities,Suburban,High School,No,No,Yes,Yes,2.63,6.18,72.0,3.3,No,57,63,71,71,66,C
Joseph Walker,23,Male,Arts,Rural,Master,No,Yes,No,Yes,4.02,7.12,48.7,5.8,Yes,56,56,69,68,62,C
Joshua Jones,25,Male,STEM,Suburban,Master,No,No,No,No,7.78,7.05,90.9,5.8,Yes,86,89,74,67,79,B
Sandra Clark,20,Female,Arts,Urban,High School,No,Yes,No,Yes,1.89,7.32,70.6,7.6,Yes,42,69,56,58,56,C
Andrew Gonzalez,22,Male,Arts,Urban,Bachelor,No,No,Yes,Yes,3.74,5.25,92.4,4.4,No,63,65,78,69,69,C
Matthew Young,25,Male,Humanities,Urban,High School,No,Yes,Yes,Yes,3.39,7.13,98.1,5.6,No,69,68,78,81,74,B
Betty Thomas,19,Female,STEM,Suburban,Bachelor,No,Yes,Yes,Yes,5.91,5.29,94.7,6.7,Yes,84,78,68,72,76,B
William Smith,19,Male,Arts,Suburban,Bachelor,No,No,No,Yes,2.26,7.43,71.1,2.8,No,65,72,63,76,69,C
Michael Ramirez,23,Male,STEM,Urban,Bachelor,No,No,Yes,Yes,4.89,4.45,77.7,2.4,No,73,64,63,66,67,C
Joseph Lopez,22,Male,STEM,Rural,Bachelor,No,Yes,Yes,Yes,1.29,4.78,65.0,8.3,No,46,53,50,37,47,D
Steven Robinson,21,Male,Business,Suburban,High School,No,Yes,No,No,2.38,7.98,89.2,4.2,No,66,63,62,56,62,C
Robert Scott,25,Male,Arts,Urban,Bachelor,No,No,No,Yes,5.92,6.34,92.0,3.8,No,67,76,88,76,77,B
Jessica Davis,22,Female,Arts,Suburban,High School,No,Yes,No,Yes,1.22,5.81,71.3,6.9,Yes,49,43,46,52,48,D
Sandra Rodriguez,21,Female,Arts,Suburban,Bachelor,No,No,Yes,Yes,3.93,8.53,95.5,3.2,No,75,76,85,79,79,B
Mark King,22,Male,Arts,Urban,Bachelor,No,No,Yes,Yes,6.86,7.39,69.1,3.9,No,68,75,81,82,77,B
Paul Hill,22,Male,Business,Urban,Bachelor,Yes,No,Yes,Yes,5.25,8.05,91.0,2.3,No,89,74,86,85,84,B
Christopher Lewis,18,Male,Humanities,Rural,High School,No,No,No,Yes,3.88,6.8,41.7,2.3,No,60,58,65,80,66,C
Joshua Allen,19,Male,Humanities,Suburban,High School,No,Yes,Yes,Yes,2.98,10.22,84.9,3.3,No,51,57,63,66,59,C
Anthony Scott,25,Male,Business,Suburban,High School,No,No,No,Yes,4.27,6.27,63.7,1.5,No,75,57,72,73,69,C
Mark Hernandez,22,Male,STEM,Suburban,High School,Yes,Yes,No,Yes,0.5,9.09,64.0,4.2,No,69,58,52,63,61,C
Donald Lewis,25,Male,Business,Urban,High School,No,No,Yes,Yes,4.49,6.93,90.9,6.1,Yes,84,67,74,76,75,B
Thomas Thomas,23,Male,Arts,Urban,Master,No,No,No,Yes,2.95,5.01,57.0,3.9,No,44,60,65,63,58,C
Thomas King,22,Male,STEM,Suburban,Master,No,No,Yes,No,8.37,7.58,83.6,4.4,Yes,90,88,89,76,86,A
Donald Thomas,20,Male,Humanities,Urban,Bachelor,Yes,No,No,Yes,1.79,7.38,40.7,3.6,No,56,58,70,63,62,C
Thomas Lewis,19,Male,STEM,Urban,Bachelor,No,No,Yes,Yes,3.25,5.74,67.2,4.1,No,69,68,68,56,65,C
Jennifer Jackson,20,Female,Humanities,Rural,High School,No,No,No,Yes,2.89,5.89,77.5,2.3,No,49,48,62,79,60,C
Jessica Moore,25,Female,Arts,Rural,Master,No,No,No,Yes,10.52,6.97,86.3,2.1,No,79,87,100,95,90,A
Nancy Lee,25,Female,Business,Suburban,High School,No,No,No,Yes,7.24,7.42,69.4,4.3,No,79,78,80,80,79,B
Paul Garcia,19,Male,Business,Rural,Master,No,No,No,Yes,1.49,4.04,55.5,3.5,No,49,37,42,37,41,D
Elizabeth Martinez,25,Female,Humanities,Urban,Bachelor,No,No,Yes,Yes,4.09,8.26,77.5,2.4,No,78,68,78,85,77,B
Jessica Harris,20,Female,Business,Rural,High School,No,Yes,No,No,0.81,6.41,78.4,6.8,No,52,50,64,54,55,C
William Wilson,22,Male,Business,Urban,Master,No,Yes,Yes,Yes,3.76,5.4,76.9,6.1,No,70,55,67,68,65,C
Jennifer Clark,22,Female,STEM,Rural,High School,No,No,Yes,Yes,5.85,8.13,76.7,1.9,No,79,99,76,74,82,B
Anthony Perez,18,Male,Arts,Rural,Bachelor,Yes,No,No,Yes,4.71,6.97,90.8,3.1,No,67,78,81,98,81,B
Emily Robinson,23,Female,STEM,Suburban,Bachelor,No,No,No,Yes,6.04,8.46,75.2,2.1,No,92,90,65,73,80,B
Margaret Brown,25,Female,Business,Rural,High School,No,Yes,Yes,Yes,2.26,7.53,80.6,4.0,No,79,69,66,62,69,C
Richard Clark,20,Male,Arts,Suburban,Bachelor,No,No,Yes,Yes,4.79,7.0,79.1,2.8,No,66,69,95,71,75,B
Betty Nguyen,25,Female,Business,Urban,Bachelor,No,No,Yes,Yes,5.92,6.82,91.5,2.6,No,91,72,82,67,78,B
Mary Torres,25,Female,STEM,Suburban,Bachelor,No,No,No,Yes,3.17,7.58,77.6,3.0,No,74,87,69,59,72,B
Matthew Walker,21,Male,STEM,Suburban,High School,No,No,Yes,Yes,2.44,6.5,98.3,2.8,No,85,86,70,79,80,B
James Thompson,18,Male,Business,Urban,Master,No,No,No,No,3.81,5.98,91.3,4.9,Yes,77,69,67,69,71,B
Karen Harris,20,Female,STEM,Suburban,High School,No,Yes,Yes,Yes,1.43,7.73,79.3,4.6,No,72,73,57,60,66,C
Anthony Wright,20,Male,STEM,Rural,High School,No,No,Yes,Yes,4.15,6.83,49.2,6.9,Yes,65,57,67,50,60,C
Emily Hill,25,Female,STEM,Urban,High School,No,No,No,Yes,4.94,7.04,92.5,2.9,No,84,85,75,69,78,B
Jessica Young,18,Female,Humanities,Suburban,High School,No,No,No,Yes,2.64,8.31,90.0,4.9,Yes,63,64,77,83,72,B
Joseph Moore,22,Male,Business,Rural,High School,Yes,No,No,Yes,6.01,6.86,50.5,3.4,No,79,71,72,73,74,B
Anthony Young,20,Male,Arts,Rural,PhD,No,Yes,No,Yes,8.74,7.02,83.4,6.2,Yes,78,77,95,87,84,B
James Harris,22,Male,STEM,Rural,High School,Yes,No,Yes,Yes,2.91,6.28,40.1,4.9,No,73,75,66,60,69,C
Christopher Sanchez,18,Male,STEM,Suburban,High School,No,Yes,No,Yes,10.68,7.52,61.4,3.3,No,82,85,81,90,85,A
David Robinson,22,Male,Business,Rural,High School,Yes,No,No,Yes,10.62,7.42,69.3,2.4,No,90,86,89,78,86,A
William Flores,19,Male,Business,Suburban,Bachelor,No,No,No,Yes,4.14,8.08,99.8,1.9,No,79,62,91,62,74,B
Emily Johnson,21,Female,STEM,Urban,Master,No,Yes,Yes,Yes,2.46,6.31,77.6,7.9,Yes,70,64,57,69,65,C
Matthew Nguyen,24,Male,STEM,Suburban,High School,No,No,Yes,Yes,2.78,6.45,93.0,3.6,No,79,72,64,61,69,C
Donna Johnson,20,Female,STEM,Suburban,High School,No,Yes,No,Yes,4.38,7.95,98.9,6.5,Yes,78,79,80,55,73,B
Jennifer Ramirez,23,Female,Business,Urban,High School,No,No,No,Yes,4.3,7.3,69.1,2.4,No,75,66,80,70,73,B
Elizabeth Robinson,21,Female,Business,Suburban,High School,No,Yes,Yes,Yes,2.87,5.91,90.6,4.6,No,74,66,65,72,69,C
Barbara Brown,24,Female,STEM,Suburban,High School,No,No,Yes,Yes,2.47,8.57,92.7,2.8,No,82,83,75,68,77,B
Thomas Harris,22,Male,STEM,Urban,Bachelor,No,No,No,Yes,6.59,4.96,91.9,6.4,Yes,82,75,63,62,71,B
Christopher Wilson,20,Male,STEM,Suburban,High School,No,Yes,No,Yes,1.76,7.94,61.8,4.4,No,65,62,66,57,63,C
Mark Lee,22,Male,Humanities,Suburban,Bachelor,No,Yes,No,Yes,0.5,5.48,60.0,5.9,No,44,45,69,44,51,D
Nancy Harris,19,Female,STEM,Suburban,High School,No,Yes,No,Yes,2.07,9.26,46.4,3.9,No,53,50,50,51,51,D
Sarah Clark,18,Female,Business,Urban,Master,No,Yes,No,No,2.68,5.15,85.2,5.5,No,58,52,62,52,56,C
Sarah Garcia,20,Female,Business,Urban,Master,No,Yes,Yes,Yes,7.73,8.38,94.5,5.7,Yes,91,88,93,86,90,A
Ashley Johnson,24,Female,Arts,Urban,Bachelor,No,No,No,Yes,10.55,6.9,70.3,2.1,No,81,81,92,85,85,A
Paul Brown,24,Male,STEM,Rural,Bachelor,No,No,Yes,Yes,4.03,6.56,79.7,5.3,No,77,76,74,69,74,B
Daniel Anderson,19,Male,STEM,Urban,Bachelor,No,No,No,Yes,7.14,7.22,91.7,2.7,No,95,84,88,74,85,A
John Williams,19,Male,Business,Suburban,Bachelor,No,No,Yes,No,7.05,7.76,89.5,5.3,Yes,77,73,98,73,80,B
Mary Thomas,25,Female,Business,Urban,Bachelor,No,No,Yes,No,0.5,5.91,63.3,4.3,No,52,48,53,45,50,D
Richard Johnson,20,Male,Business,Urban,Bachelor,No,No,No,Yes,2.8,6.02,69.7,3.4,No,69,68,70,55,66,C
Joshua Martinez,22,Male,Arts,Rural,Master,No,No,No,Yes,4.96,7.78,77.0,3.6,No,65,68,84,89,77,B
Joseph Rodriguez,23,Male,STEM,Suburban,Master,No,Yes,Yes,Yes,1.47,4.95,88.6,5.5,No,63,63,67,60,63,C
Donald Davis,24,Male,Humanities,Urban,High School,No,No,No,Yes,2.67,6.3,81.8,4.3,No,63,71,73,58,66,C
Donna Wilson,24,Female,Business,Suburban,Bachelor,No,No,No,Yes,7.29,10.65,81.5,1.0,No,76,55,74,54,65,C
Sandra Taylor,19,Female,STEM,Urban,High School,No,No,No,Yes,3.15,5.84,78.0,5.3,Yes,64,65,54,55,60,C
Lisa Hernandez,21,Female,Humanities,Suburban,High School,No,Yes,Yes,No,2.93,8.38,74.8,6.9,Yes,63,53,71,61,62,C
Joshua Hill,19,Male,Business,Suburban,Bachelor,No,Yes,No,Yes,4.97,6.3,90.1,3.8,No,77,73,73,63,72,B
Linda Hernandez,23,Female,Business,Urban,High School,No,No,Yes,Yes,8.41,7.61,92.9,2.5,No,94,90,91,80,89,A
Karen Miller,22,Female,Business,Urban,Master,No,No,No,Yes,3.43,7.79,85.7,1.8,No,82,73,82,58,74,B
Donna Johnson,22,Female,Humanities,Urban,High School,No,No,Yes,Yes,2.25,8.35,82.7,2.5,No,58,59,77,77,68,C
Karen Torres,21,Female,Business,Rural,Bachelor,No,No,No,Yes,4.66,6.76,75.3,1.9,No,83,73,71,80,77,B
Matthew Sanchez,24,Male,STEM,Rural,Bachelor,Yes,No,Yes,Yes,1.06,9.39,78.8,4.7,No,76,61,62,54,63,C
Richard Jones,19,Male,STEM,Urban,Bachelor,No,No,No,Yes,2.32,6.29,88.5,2.2,No,76,82,79,68,76,B
Donna Thomas,25,Female,Humanities,Suburban,Bachelor,Yes,No,Yes,Yes,7.72,7.28,67.1,2.3,No,82,79,96,100,89,A
Linda Martin,22,Female,STEM,Urban,Master,No,No,Yes,No,7.37,7.29,66.1,5.8,Yes,84,79,64,74,75,B
Michelle Davis,23,Female,Arts,Urban,Bachelor,No,Yes,No,Yes,2.13,5.65,40.0,6.1,No,46,44,62,51,51,D
Donna Williams,20,Female,Arts,Suburban,Bachelor,No,Yes,No,Yes,3.01,6.66,62.3,5.5,No,55,59,67,68,62,C
Lisa Wright,18,Female,Arts,Rural,High School,No,No,No,Yes,5.98,7.19,87.7,2.4,No,76,66,88,83,78,B
Margaret White,18,Female,Business,Rural,Bachelor,No,No,No,Yes,1.68,6.48,81.1,4.6,No,67,65,67,63,66,C
Jennifer Allen,18,Female,Humanities,Suburban,Master,No,No,Yes,Yes,4.08,9.93,53.9,2.5,No,65,57,73,70,66,C
Christopher Smith,25,Male,STEM,Urban,Bachelor,No,No,No,Yes,8.26,5.99,89.7,2.9,No,87,86,80,75,82,B
Anthony Young,24,Male,STEM,Suburban,Master,Yes,Yes,No,Yes,4.36,8.42,71.7,6.6,Yes,83,80,60,68,73,B
Linda Ramirez,19,Female,STEM,Urban,Bachelor,No,No,Yes,Yes,4.85,8.03,93.8,4.7,Yes,86,87,72,66,78,B
Lisa Robinson,21,Female,Humanities,Suburban,High School,No,Yes,No,Yes,2.65,6.98,86.9,4.0,No,66,61,75,72,69,C
William Ramirez,25,Male,Business,Urban,High School,No,No,No,Yes,1.26,5.96,93.1,4.8,No,62,54,56,59,58,C
David King,25,Male,STEM,Suburban,High School,No,Yes,No,Yes,1.03,6.08,89.2,8.9,Yes,54,58,53,45,53,D
Thomas Flores,22,Male,Humanities,Urban,Bachelor,No,No,Yes,No,5.15,6.38,76.5,2.4,No,62,84,78,85,77,B
Paul Walker,20,Male,Humanities,Urban,Master,No,Yes,Yes,Yes,3.14,4.86,87.7,5.4,No,70,64,68,69,68,C
Sandra Ramirez,25,Female,Humanities,Rural,High School,Yes,No,Yes,Yes,2.18,5.8,77.3,3.6,No,57,68,77,70,68,C
Donna Moore,23,Female,Humanities,Urban,Bachelor,No,No,No,Yes,2.37,5.22,74.7,3.9,No,48,46,70,64,57,C
Christopher Thomas,20,Male,STEM,Suburban,Bachelor,No,No,Yes,Yes,8.35,8.62,85.9,4.3,Yes,92,86,71,83,83,B
Jennifer Moore,23,Female,Business,Urban,Bachelor,No,No,No,Yes,3.06,7.74,68.0,3.6,No,72,70,69,64,69,C
Mark Thomas,24,Male,Arts,Urban,High School,No,Yes,No,Yes,5.6,7.94,66.8,3.3,No,68,71,84,74,74,B
Mark Torres,19,Male,Humanities,Urban,High School,No,Yes,No,Yes,3.39,7.71,85.6,3.6,No,69,72,76,74,73,B
Joshua Harris,18,Male,Business,Urban,High School,No,Yes,No,Yes,2.53,7.2,82.2,5.6,No,76,58,72,61,67,C
Nancy Johnson,25,Female,Business,Rural,High School,No,No,No,Yes,2.6,8.75,83.6,4.6,Yes,56,68,51,49,56,C
Donald Lee,19,Male,Business,Urban,High School,No,Yes,No,Yes,3.43,6.27,79.4,3.9,No,73,67,66,64,68,C
Barbara Young,24,Female,STEM,Rural,High School,No,No,No,No,7.02,7.13,40.0,2.1,No,60,79,67,63,67,C
Richard Thompson,21,Male,Arts,Suburban,Bachelor,No,No,No,Yes,6.15,7.9,96.7,4.6,Yes,70,77,87,72,77,B
Thomas Perez,21,Male,Humanities,Suburban,High School,No,No,Yes,Yes,1.8,5.41,96.6,5.2,No,70,64,59,65,65,C
Sarah Hill,24,Female,Humanities,Suburban,PhD,No,No,No,Yes,4.39,10.72,77.7,2.2,No,56,64,55,65,60,C
Thomas Scott,23,Male,STEM,Suburban,High School,No,No,Yes,Yes,3.27,7.03,89.6,4.0,No,69,78,67,68,71,B
James King,22,Male,STEM,Suburban,High School,No,No,No,Yes,1.09,7.17,66.0,4.0,No,59,59,59,56,58,C
Susan Garcia,22,Female,STEM,Urban,Bachelor,No,No,Yes,Yes,5.29,8.51,98.6,3.0,No,92,88,75,75,83,B
Jessica Clark,23,Female,Business,Urban,High School,No,Yes,No,No,3.38,8.1,71.7,3.6,No,70,48,70,63,63,C
Ashley Scott,21,Female,Humanities,Rural,Master,No,No,No,Yes,6.97,7.05,90.5,2.4,No,79,77,77,90,81,B
Jessica Walker,21,Female,STEM,Rural,High School,No,No,No,Yes,5.11,7.16,62.5,4.5,Yes,86,75,64,64,72,B
Ashley Lewis,25,Female,Arts,Rural,Master,No,No,Yes,Yes,4.4,5.2,79.4,3.5,No,64,69,75,77,71,B
James Garcia,21,Male,Humanities,Suburban,Master,No,No,Yes,Yes,3.7,6.33,84.9,3.9,No,80,76,97,79,83,B
Karen Anderson,19,Female,Business,Suburban,Bachelor,No,No,No,Yes,3.43,7.62,93.3,2.9,No,89,67,81,76,78,B
Betty Thomas,21,Female,Arts,Suburban,Bachelor,No,No,No,Yes,4.89,7.53,98.6,6.2,Yes,63,70,88,75,74,B
Charles Nguyen,20,Male,Business,Suburban,Bachelor,No,No,Yes,Yes,7.85,8.47,92.6,1.0,No,100,76,100,90,92,A
Lisa Walker,25,Female,Arts,Urban,Bachelor,Yes,Yes,Yes,Yes,2.29,6.86,89.1,7.7,Yes,62,63,74,74,68,C
Paul King,18,Male,STEM,Suburban,Bachelor,No,No,No,Yes,4.22,5.34,97.2,2.6,No,76,84,79,66,76,B
Lisa Ramirez,21,Female,Business,Urban,High School,No,Yes,No,Yes,0.5,8.27,52.6,7.1,Yes,45,42,49,39,44,D
Emily Perez,23,Female,Business,Urban,High School,No,No,No,Yes,5.06,8.72,78.8,2.7,No,69,81,77,64,73,B
Daniel Robinson,18,Male,Humanities,Rural,Bachelor,No,No,Yes,Yes,8.15,8.08,87.6,1.8,No,86,74,89,91,85,A
Thomas Martin,19,Male,Business,Urban,Bachelor,Yes,Yes,No,Yes,2.49,6.8,65.9,5.2,No,81,63,56,72,68,C
Thomas Anderson,23,Male,Business,Urban,Master,No,No,Yes,Yes,5.34,8.25,81.0,4.0,Yes,82,65,82,80,77,B
Michael Gonzalez,18,Male,STEM,Urban,High School,Yes,No,No,No,3.31,11.0,71.2,1.0,No,59,67,44,48,55,C
Christopher Davis,23,Male,Arts,Rural,Master,Yes,Yes,No,No,5.65,7.14,72.3,4.6,No,63,62,89,84,75,B
Emily Lopez,19,Female,STEM,Suburban,High School,Yes,No,No,Yes,1.12,5.43,84.1,5.5,No,64,64,50,47,56,C
Susan Wilson,25,Female,STEM,Suburban,Bachelor,No,Yes,Yes,Yes,5.1,6.3,82.7,6.3,Yes,80,87,80,73,80,B
Donald Moore,20,Male,Business,Rural,High School,No,No,Yes,Yes,3.61,7.75,80.9,6.2,Yes,74,68,74,60,69,C
Andrew King,19,Male,Humanities,Rural,Bachelor,No,Yes,No,Yes,3.52,5.07,85.0,5.4,No,56,48,66,76,62,C
Joshua Jackson,19,Male,STEM,Urban,High School,No,No,Yes,Yes,6.2,7.2,55.9,1.5,No,89,78,73,66,77,B
Linda Gonzalez,23,Female,Arts,Suburban,Bachelor,No,No,No,Yes,2.35,7.46,83.6,2.2,No,62,72,81,89,76,B
Karen Anderson,25,Female,Humanities,Suburban,Master,No,No,No,No,5.81,8.84,60.3,4.5,Yes,70,65,79,73,72,B
Daniel Lopez,24,Male,STEM,Suburban,Bachelor,No,No,No,Yes,3.57,8.57,86.5,4.6,Yes,69,84,73,63,72,B
Karen Smith,22,Female,Business,Urban,Bachelor,No,No,No,Yes,2.01,8.04,83.6,1.8,No,75,74,78,57,71,B
Paul Rodriguez,21,Male,Business,Rural,Master,No,No,No,Yes,8.4,4.4,79.2,2.0,No,75,66,81,73,74,B
Thomas Williams,21,Male,Business,Suburban,Bachelor,No,No,Yes,Yes,3.41,8.11,83.9,4.5,Yes,85,63,73,77,75,B
Patricia Scott,20,Female,STEM,Urban,Bachelor,No,No,No,Yes,1.96,7.85,67.1,5.6,Yes,64,58,62,54,60,C
Charles Rodriguez,20,Male,Arts,Suburban,High School,No,No,Yes,Yes,4.21,7.31,88.8,2.8,No,78,73,85,79,79,B
Donald Miller,21,Male,Business,Urban,Master,No,Yes,No,Yes,0.5,4.92,63.9,5.5,No,58,46,46,39,47,D
Mary Torres,22,Female,Business,Urban,Bachelor,No,No,Yes,Yes,3.16,6.07,82.1,3.7,No,74,62,81,57,69,C
Charles Walker,21,Male,STEM,Suburban,High School,No,No,No,Yes,4.83,5.6,94.7,4.3,No,74,79,68,59,70,B
Donald Lewis,24,Male,Business,Urban,High School,Yes,No,No,Yes,1.51,4.58,89.5,4.7,No,60,46,56,55,54,D
Christopher Lopez,22,Male,STEM,Suburban,Master,No,No,No,Yes,6.89,7.0,83.2,2.5,No,93,86,86,77,86,A
Patricia Taylor,20,Female,Business,Suburban,High School,No,Yes,No,Yes,2.64,6.04,83.9,5.8,No,69,68,71,65,68,C
Donald Davis,18,Male,STEM,Urban,PhD,No,No,Yes,Yes,7.46,10.15,73.2,1.0,No,86,90,76,65,79,B
